episode,score,shaped_reward,tau
1,0,10.998711,0.49985
2,0,7.99722,0.499725
3,0,7.327208,0.499588
4,0,12.340543,0.499451
5,0,11.016764,0.499289
6,0,8.885159,0.499127
7,0,8.536001,0.498996
8,0,10.905285,0.498828
9,0,9.060307,0.498685
10,0,11.207748,0.498536
11,0,9.670954,0.498374
12,0,10.437339,0.498219
13,0,8.139121,0.498095
14,0,9.32798,0.497958
15,0,10.948458,0.497803
16,0,10.139481,0.497661
17,0,10.60087,0.4975
18,0,9.085859,0.497339
19,0,10.602802,0.497185
20,0,10.809878,0.497012
21,0,10.607864,0.49687
22,0,11.231144,0.496697
23,0,12.924197,0.496512
24,0,14.174553,0.496315
25,0,14.173203,0.496124
26,0,8.706934,0.49597
27,0,13.759936,0.495767
28,0,13.815617,0.495595
29,0,12.339423,0.495411
30,0,11.318816,0.495252
31,0,13.578145,0.495074
32,0,11.101378,0.494903
33,0,10.449164,0.494725
34,0,11.35236,0.494566
35,1,15.173574,0.494352
36,0,14.854987,0.49415
37,0,11.763876,0.493998
38,1,13.689323,0.493821
39,0,11.655457,0.493644
40,0,14.234725,0.493474
41,0,14.939613,0.493291
42,0,15.030428,0.493115
43,0,12.961409,0.492939
44,0,17.711805,0.49275
45,0,14.632579,0.492581
46,0,15.982957,0.492393
47,0,14.240431,0.492229
48,0,13.533381,0.492047
49,0,11.889806,0.491878
50,0,15.226105,0.491696
51,0,18.618571,0.491497
52,0,14.038442,0.491328
53,0,10.748397,0.491183
54,0,17.762575,0.490996
55,1,19.056169,0.490786
56,1,14.038383,0.490593
57,0,11.541771,0.49043
58,0,15.316629,0.49025
59,1,13.053312,0.490088
60,1,16.22182,0.489908
61,0,12.858635,0.489776
62,0,14.711667,0.489608
63,0,12.576686,0.48944
64,0,12.019472,0.489303
65,0,13.685029,0.489135
66,0,13.383045,0.488974
67,0,15.586111,0.488782
68,0,12.675307,0.488633
69,2,22.077746,0.488418
70,3,20.13113,0.488204
71,0,14.576069,0.488013
72,0,16.125165,0.487829
73,0,15.042672,0.48765
74,0,12.40747,0.487484
75,1,15.782397,0.487306
76,0,12.796988,0.487151
77,1,19.347798,0.48695
78,0,15.099454,0.486772
79,0,10.082911,0.48663
80,1,17.372584,0.486458
81,0,14.399656,0.486287
82,0,13.12813,0.486121
83,0,14.620699,0.48595
84,0,12.148098,0.485785
85,0,15.094843,0.485608
86,1,16.944049,0.485413
87,0,12.778492,0.485266
88,0,14.739049,0.485095
89,0,14.201878,0.484913
90,1,17.304257,0.484725
91,0,10.831402,0.484584
92,0,19.940487,0.484373
93,0,14.787913,0.484197
94,0,13.197198,0.484051
95,0,12.625337,0.483892
96,1,18.754928,0.483705
97,0,13.33797,0.483536
98,0,12.594541,0.48339
99,0,15.334446,0.483203
100,1,17.556154,0.483004
101,0,14.624879,0.482841
102,0,14.7889,0.482672
103,0,17.041504,0.482492
104,0,12.228207,0.48234
105,0,13.077359,0.482183
106,0,14.164301,0.481997
107,0,13.329922,0.481823
108,0,16.752179,0.481638
109,0,13.67527,0.481464
110,1,13.381888,0.481325
111,1,19.035467,0.481134
112,1,11.640739,0.480972
